==21492== NVPROF is profiling process 21492, command: ./encryptApp
==21492== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==21492== Profiling application: ./encryptApp
==21492== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
3.78207s  42.256ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [283]
3.82461s  959.89us                    -               -         -         -         -  2.6367MB  2.6825GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.94472s  881.81us                    -               -         -         -         -  2.6367MB  2.9200GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.94573s  6.6224ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [292]
3.95257s  819.10us                    -               -         -         -         -  2.6367MB  3.1436GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
4.11263s  809.26us                    -               -         -         -         -  2.6367MB  3.1818GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
4.11392s  957.60us                    -               -         -         -         -  2.6367MB  2.6889GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
4.11505s  41.823ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [302]
4.15713s  856.29us                    -               -         -         -         -  2.6367MB  3.0071GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
4.30916s  748.21us                    -               -         -         -         -  2.6367MB  3.4414GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
4.31003s  6.6105ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [311]
4.31694s  954.37us                    -               -         -         -         -  2.6367MB  2.6980GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
SrcMemType: The type of source memory accessed by memory operation/copy
DstMemType: The type of destination memory accessed by memory operation/copy
